Gene Symbol,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
CRHBP,corticotropin releasing hormone binding protein,Matrisome-associated,Secreted Factors,-1.3207815,DOWN,0.00457,0.37593,NO,205984_PM_at
MMP28,matrix metallopeptidase 28,Matrisome-associated,ECM Regulators,-1.21676267,DOWN,0.0048,0.39007,NO,239272_PM_at
COL6A3,"collagen, type VI, alpha 3",Core matrisome,Collagens,1.11747333,UP,0.0049,0.39466,NO,201438_PM_at
PDGFA,platelet-derived growth factor alpha polypeptide,Matrisome-associated,Secreted Factors,1.43189167,UP,0.00496,0.39812,NO,216867_PM_s_at
FN1,fibronectin 1,Core matrisome,ECM Glycoproteins,1.93177567,UP,0.00526,0.41042,NO,214702_PM_at
SFRP2,secreted frizzled-related protein 2,Matrisome-associated,Secreted Factors,2.53317167,UP,0.00584,0.42805,NO,223121_PM_s_at
P4HA3,"prolyl 4-hydroxylase, alpha polypeptide III",Matrisome-associated,ECM Regulators,2.10161317,UP,0.00637,0.45008,NO,228703_PM_at
FNDC1,fibronectin type III domain containing 1,Core matrisome,ECM Glycoproteins,2.90672,UP,0.00641,0.45008,NO,226930_PM_at
CRISPLD2,cysteine-rich secretory protein LCCL domain containing 2,Core matrisome,ECM Glycoproteins,2.78338833,UP,0.00654,0.45545,NO,221541_PM_at
CTSC,cathepsin C,Matrisome-associated,ECM Regulators,-1.42134233,DOWN,0.00676,0.46191,NO,231234_PM_at
FGL2,fibrinogen-like 2,Core matrisome,ECM Glycoproteins,-1.46849833,DOWN,0.00684,0.46254,NO,227265_PM_at
TECTA,tectorin alpha,Core matrisome,ECM Glycoproteins,1.04586667,UP,0.00711,0.46981,NO,236904_PM_x_at
COL8A1,"collagen, type VIII, alpha 1",Core matrisome,Collagens,2.68166667,UP,0.00742,0.47534,NO,226237_PM_at
FBLN2,fibulin 2,Core matrisome,ECM Glycoproteins,-1.3728,DOWN,0.00775,0.48363,NO,203886_PM_s_at
THBS3,thrombospondin 3,Core matrisome,ECM Glycoproteins,1.15780833,UP,0.00815,0.49792,NO,209561_PM_at
MMRN2,multimerin 2,Core matrisome,ECM Glycoproteins,-1.68784,DOWN,0.00834,0.50451,NO,236262_PM_at
EDIL3,EGF-like repeats and discoidin I-like domains 3,Core matrisome,ECM Glycoproteins,2.50904,UP,0.00851,0.50937,NO,225275_PM_at
SFRP4,secreted frizzled-related protein 4,Matrisome-associated,Secreted Factors,2.73631167,UP,0.00867,0.51284,NO,204051_PM_s_at
CRISPLD1,cysteine-rich secretory protein LCCL domain containing 1,Core matrisome,ECM Glycoproteins,1.7040255,UP,0.00896,0.52084,NO,223475_PM_at
COL11A1,"collagen, type XI, alpha 1",Core matrisome,Collagens,3.78661098,UP,0.00898,0.52104,NO,37892_PM_at
ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",Matrisome-associated,ECM Regulators,-1.52560033,DOWN,0.00935,0.52687,NO,235368_PM_at
FBLN5,fibulin 5,Core matrisome,ECM Glycoproteins,-1.481305,DOWN,0.00948,0.52984,NO,203088_PM_at
TGFB3,"transforming growth factor, beta 3",Matrisome-associated,Secreted Factors,1.38042167,UP,0.0102,0.54483,NO,209747_PM_at
CSTA,cystatin A (stefin A),Matrisome-associated,ECM Regulators,-1.71034833,DOWN,0.0102,0.54509,NO,204971_PM_at
PARM1,prostate androgen-regulated mucin-like protein 1,Matrisome-associated,ECM-affiliated Proteins,-1.17712167,DOWN,0.0105,0.55263,NO,225809_PM_at
TNFAIP6,"tumor necrosis factor, alpha-induced protein 6",Core matrisome,ECM Glycoproteins,1.64126833,UP,0.0106,0.55359,NO,206026_PM_s_at
MMP2,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",Matrisome-associated,ECM Regulators,1.95519833,UP,0.0109,0.56283,NO,201069_PM_at
COL16A1,"collagen, type XVI, alpha 1",Core matrisome,Collagens,2.12623667,UP,0.0117,0.58118,NO,204345_PM_at
PCOLCE,procollagen C-endopeptidase enhancer,Core matrisome,ECM Glycoproteins,1.56403167,UP,0.0119,0.58394,NO,202465_PM_at
SERPINB6,"serpin peptidase inhibitor, clade B (ovalbumin), member 6",Matrisome-associated,ECM Regulators,-3.15377167,DOWN,0.0146,0.6403,NO,231628_PM_s_at
SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",Core matrisome,ECM Glycoproteins,-1.755475,DOWN,0.0146,0.64064,NO,1553129_PM_at
ADAM22,ADAM metallopeptidase domain 22,Matrisome-associated,ECM Regulators,-0.63180767,DOWN,0.015,0.64738,NO,244194_PM_at
PLXDC2,plexin domain containing 2,Matrisome-associated,ECM-affiliated Proteins,0.98353833,UP,0.0155,0.655,NO,227995_PM_at
TNXB,tenascin XB,Core matrisome,ECM Glycoproteins,-1.90377667,DOWN,0.0158,0.6565,NO,216333_PM_x_at
S100A13,S100 calcium binding protein A13,Matrisome-associated,Secreted Factors,-0.95649667,DOWN,0.0158,0.6565,NO,202598_PM_at
FRAS1,Fraser syndrome 1,Core matrisome,ECM Glycoproteins,0.673155,UP,0.0159,0.65675,NO,231511_PM_at
LAMB3,"laminin, beta 3",Core matrisome,ECM Glycoproteins,-0.80779817,DOWN,0.0162,0.65724,NO,209270_PM_at
CD109,CD109 molecule,Matrisome-associated,ECM Regulators,0.96097667,UP,0.0162,0.65724,NO,229900_PM_at
THBS1,thrombospondin 1,Core matrisome,ECM Glycoproteins,2.079993,UP,0.0162,0.65724,NO,215775_PM_at
MEGF6,multiple EGF-like-domains 6,Matrisome-associated,Secreted Factors,1.4137225,UP,0.0165,0.66047,NO,213942_PM_at
TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10",Matrisome-associated,Secreted Factors,-1.87084333,DOWN,0.0166,0.66137,NO,202687_PM_s_at
CLCF1,cardiotrophin-like cytokine factor 1,Matrisome-associated,Secreted Factors,0.76089283,UP,0.0166,0.66137,NO,219500_PM_at
INHBA,"inhibin, beta A",Matrisome-associated,Secreted Factors,2.517965,UP,0.017,0.66137,NO,210511_PM_s_at
ANGPTL4,angiopoietin-like 4,Matrisome-associated,Secreted Factors,-1.71935883,DOWN,0.0178,0.67053,NO,221009_PM_s_at
SDC1,syndecan 1,Matrisome-associated,ECM-affiliated Proteins,0.9774825,UP,0.0191,0.69164,NO,201286_PM_at
FBLN7,fibulin 7,Core matrisome,ECM Glycoproteins,1.11067167,UP,0.0193,0.69322,NO,229247_PM_at
ANGPT1,angiopoietin 1,Matrisome-associated,Secreted Factors,-1.33952667,DOWN,0.0197,0.70037,NO,205608_PM_s_at
OGFOD1,2-oxoglutarate and iron-dependent oxygenase domain containing 1,Matrisome-associated,ECM Regulators,-1.35626182,DOWN,0.0197,0.70122,NO,225110_PM_at
S100A3,S100 calcium binding protein A3,Matrisome-associated,Secreted Factors,0.67998267,UP,0.0199,0.70281,NO,206027_PM_at
TSKU,tsukushi small leucine rich proteoglycan homolog (Xenopus laevis),Core matrisome,ECM Glycoproteins,-0.76658167,DOWN,0.0207,0.71034,NO,218245_PM_at
LTBP4,latent transforming growth factor beta binding protein 4,Core matrisome,ECM Glycoproteins,-0.81071,DOWN,0.021,0.71493,NO,227989_PM_at
