Gene_Symbol,Probe_ID,logFC,P.Value,adj.P.Val,MR_Significant,MR_Pvalue,MR_Beta,MR_FDR,Matrisome_Division,Matrisome_Category
FGF14,230231_PM_at,1.49400033,0.0345,0.82784,False,,,,Matrisome-associated,Secreted Factors
MMP14,202827_PM_s_at,2.17859517,0.0365,0.83588,False,,,,Matrisome-associated,ECM Regulators
TSPEAR,1555048_PM_a_at,0.89494267,0.0375,0.84253,False,,,,Core matrisome,ECM Glycoproteins
SMOC2,243946_PM_at,0.97185,0.0382,0.84656,False,,,,Core matrisome,ECM Glycoproteins
P4HA2,202733_PM_at,1.21846333,0.0387,0.8471,True,2.370737162138425e-09,-0.0176070271747432,3.613960429916704e-07,Matrisome-associated,ECM Regulators
COL6A2,213290_PM_at,0.94531667,0.0389,0.84832,False,,,,Core matrisome,Collagens
SERPINE1,1568765_PM_at,3.0182915,0.0412,0.86207,False,,,,Matrisome-associated,ECM Regulators
SERPINA3,202376_PM_at,1.28543333,0.0418,0.86493,False,,,,Matrisome-associated,ECM Regulators
POSTN,210809_PM_s_at,2.25361667,0.0423,0.86756,False,,,,Core matrisome,ECM Glycoproteins
TGM2,211003_PM_x_at,0.9520255,0.0428,0.86756,False,,,,Matrisome-associated,ECM Regulators
ADAMTS1,222486_PM_s_at,1.67115167,0.0453,0.87677,True,0.0228513750525649,0.0034935920182081,0.197980526631214,Matrisome-associated,ECM Regulators
INSL3,1553594_PM_a_at,0.80060833,0.0471,0.88684,False,,,,Matrisome-associated,Secreted Factors
