"","GSM1536406","GSM1536407","GSM1536408","GSM1536409","GSM1536410","GSM1536411","GSM1536412","GSM1536413"
"CTSW",1.64063,1.0934,1.63156,1.98031,0.998498,1.73948,1.68876,2.10516
"CTSZ",6.0611,3.92032,4.58041,4.82686,3.35378,2.56495,3.63687,3.95882
"CTTN",4.96384,5.43271,5.42242,3.05166,5.24869,6.04455,4.79264,4.96374
"CTTNBP2",0.432741,0.674953,0.37108,0.442418,1.07081,0.198494,0.350431,0.580886
"CTTNBP2NL",2.67914,3.81213,2.64739,2.79712,2.75813,1.85215,3.1922,2.64536
"CTU2",3.04306,2.06829,1.74315,2.18991,2.14325,2.20379,1.66401,2.08668
"CTXN1",1.15705,1.42808,1.09572,1.34852,1.94416,1.14486,1.11693,1.30015
"CTXN3",0.504083,0.143616,0.299627,0.2462,1.35487,1.13877,0.488485,0.344346
"CUBN",0.596513,0.242424,0.428257,0.846801,0.821061,0.533851,0.3407,0.591775
"CUEDC1",2.46537,2.14125,1.93623,1.76485,1.35995,2.68985,1.46384,2.31464
"CUEDC2",3.53698,3.57197,3.15289,2.33647,2.33647,3.27903,3.25573,2.51558
"CUL1",3.65058,4.28698,4.11411,2.91398,2.41867,3.74109,3.84681,3.41628
"CUL2",1.43764,2.39796,2.80919,1.1936,1.02916,1.39569,2.90624,1.80951
"CUL3",5.39234,5.91329,5.97364,5.71398,4.98656,5.59446,6.26147,5.99866
"CUL4A",3.3225,5.45501,5.35037,3.53762,4.04542,5.60865,5.32661,5.73618
"CUL4B",6.78992,6.07018,6.05879,5.79783,5.57372,5.14778,5.64865,5.27907
"CUL5",3.44993,3.54844,4.22905,3.63458,3.3848,3.66028,3.93647,3.819
"CUL7",1.9791,1.70504,1.83415,1.70552,1.51061,1.74584,1.3881,1.35915
"CUL9",2.54066,1.79226,1.44288,2.26095,2.45828,2.07843,2.13041,2.08408
"CUTA",6.556,5.87979,6.05849,5.40627,4.88108,5.10358,6.29354,5.65493
"CUTC",1.56645,2.11088,2.60785,0.986898,1.50658,1.70012,3.18692,3.16664
"CUX1",1.78294,1.51177,1.31328,2.21241,3.15778,2.01062,0.899018,1.47255
"CUX2",0.131297,0.0227149,-0.11752,0.254273,0.345958,0.285097,0.139605,-0.0193764
"CUZD1",0.489364,0.901928,0.641524,0.785433,0.481879,0.615811,0.161569,0.519587
"CWC15",4.07942,4.63793,4.92595,4.18484,3.92872,3.29488,5.40115,4.39849
"CWC22",3.08181,4.08803,3.79441,3.36107,3.19443,4.52256,3.76776,3.90985
"CWC25",3.48742,2.9376,3.32119,4.2092,3.97809,3.41531,3.05378,2.66958
"CWC27",5.40195,4.88832,4.84426,4.75278,3.96563,4.99026,5.4502,4.38589
"CWF19L1",2.15123,2.39673,2.48758,2.8715,2.08976,2.43768,2.31338,2.67118
"CWF19L2",6.70863,6.79409,6.14097,6.51796,5.71093,6.98657,7.04166,6.82456
"CWH43",0.46652,-0.160753,0.154386,0.4022,0.293956,1.31503,-0.0257662,0.120401
"CX3CL1",2.13001,1.76142,1.80453,1.63547,1.28617,2.72705,1.7584,2.41954
"CX3CR1",1.61461,2.15252,0.493801,1.50932,1.69619,1.9977,2.37259,1.75584
"CXADR",1.11041,1.57063,0.917846,2.13172,1.07725,2.54465,1.37128,1.09698
"CXCL1",1.85924,0.572238,2.56211,0.55969,0.949583,1.88906,0.359101,1.18217
"CXCL10",0.289001,0.438357,0.228321,0.337634,1.24612,0.15641,0.0498909,0.296479
"CXCL11",0.331114,0.274776,0.443945,1.03774,1.17588,2.01062,0.255314,0.552324
"CXCL12",4.72468,5.80364,5.59243,5.50461,4.24004,6.50643,6.74348,6.85016
"CXCL13",0.396741,0.513362,0.380987,0.368047,0.146029,0.439581,0.365213,0.353786
"CXCL14",6.49763,7.75574,3.08045,5.42256,7.52551,7.91926,5.81421,8.35224
"CXCL16",4.80386,4.37584,5.67601,4.39348,3.11762,2.56212,4.40633,3.08097
"CXCL17",0.45481,0.434842,0.443169,0.334504,-0.112595,0.422808,0.797057,0.456399
"CXCL2",4.35743,2.84626,7.36037,1.51602,2.11784,2.4355,0.981092,0.92925
"CXCL3",2.54942,0.883851,4.59814,0.632313,1.19359,1.10501,0.88904,0.908239
"CXCL5",1.6307,0.366863,1.0836,2.23982,0.731451,0.480816,0.662677,0.0335709
"CXCL6",1.88272,1.57362,1.82766,2.37402,3.49388,2.60449,1.97838,1.98931
"CXCL9",0.96611,1.2945,0.974058,1.49956,1.35174,1.1603,0.841011,2.02026
"CXCR1",0.731826,0.787691,2.29399,1.25691,1.67817,0.478917,1.05736,1.5633
"CXCR2",2.92812,1.42855,4.80193,2.79869,1.4393,1.35766,0.837588,1.70041
"CXCR3",1.3545,1.29959,1.01538,1.11978,1.11643,2.04385,1.63371,2.12612
"CXCR4",7.98099,6.26215,7.10726,6.30018,4.3923,3.82359,4.25204,3.60296
"CXCR5",1.6529,1.52538,1.78855,1.74651,1.20504,1.19494,0.632113,1.53768
"CXCR6",1.54533,1.63912,1.38088,1.86455,1.91201,1.5968,1.40686,1.37251
"CXCR7",4.08429,5.47276,5.74333,3.98618,4.56937,6.36396,6.2162,6.31454
"CXorf1",0.895635,0.50037,0.342122,0.372455,0.728383,0.37753,0.257565,0.580471
"CXorf18",0.612641,0.0943134,-0.0769472,-0.160434,-0.0243758,0.00534357,0.631796,-0.168665
"CXorf21",4.1456,4.72273,4.17392,4.6298,4.18148,4.12429,3.78545,4.50472
"CXorf22",0.606248,0.272722,0.0929003,0.632313,0.553063,1.60108,0.501423,0.27336
"CXorf23",0.0806551,0.0523795,0.278518,0.00970125,1.23022,0.809527,0.289864,0.293892
"CXorf24",1.57798,1.35569,1.25347,1.88309,2.14606,2.08443,1.62049,1.67389
"CXorf26",3.76956,3.29103,3.50251,2.05755,1.2231,2.92659,2.99778,2.29274
"CXorf27",0.670036,0.513219,0.187277,0.951836,1.82305,0.555288,0.489636,0.344824
"CXorf30",0.130235,0.306262,0.0594654,0.0929004,0.393899,0.452307,-0.0951362,0.17668
"CXorf31",0.447434,0.555093,1.19051,2.16486,1.96236,1.14664,0.372123,0.587555
"CXorf36",2.74146,3.37089,3.13687,3.00176,3.17368,3.25984,2.39195,2.86182
"CXorf38",4.05577,4.15589,2.3577,3.95682,4.12325,4.10277,3.99575,4.60552
"CXorf40A",4.56353,3.41897,3.97841,2.98788,3.23877,3.22977,3.34465,3.5544
"CXorf40B",4.56353,3.41897,3.97841,2.98788,3.23877,3.22977,3.34465,3.5544
"CXorf41",0.405283,0.236634,0.320632,0.563753,0.538967,0.371371,0.271599,0.405283
"CXorf42",1.67053,0.910053,0.969413,1.79156,1.33709,1.12771,1.64383,1.07133
"CXorf48",0.11049,0.305765,0.116703,0.254273,0.206259,0.00534357,0.144334,-0.163873
"CXorf50B",1.65546,1.39221,1.37516,1.68201,1.95683,1.40938,2.02875,1.42044
"CXorf51",0.268207,0.478917,0.444281,0.771067,0.621494,0.493174,0.46466,0.568742
"CXorf56",1.50795,0.724863,0.878913,1.72253,0.751539,0.617592,1.7689,0.976649
"CXorf57",-0.0686328,0.487296,0.175099,0.963173,1.50064,0.779862,0.681383,0.714168
"CXorf58",0.393887,0.293794,0.492558,0.769974,0.390419,0.632704,0.449424,0.856497
"CXorf59",1.06882,0.903763,0.941073,1.59384,1.37419,0.983457,0.666747,0.859672
"CXorf61",0.0437873,0.0437873,-0.103958,0.204134,0.424026,-0.144168,0.147658,0.146029
"CXorf62",0.141323,0.478744,0.624252,0.0876744,0.450633,0.0635084,-0.0559035,0.781673
"CXorf64",0.252199,-0.0227761,0.0929003,0.209603,0.144017,0.798358,0.223817,0.00400086
"CXorf65",0.10125,0.249058,0.411322,0.257302,0.5936,-0.0570568,0.437683,0.379524
"CXorf67",1.70566,0.979159,1.03735,1.28072,2.76289,0.977355,1.14858,1.5684
"CXXC1",2.31801,1.57061,1.24213,1.65886,2.24838,1.27326,1.52269,1.68306
"CXXC4",0.77386,0.510017,0.585975,0.440561,0.754003,0.549328,0.503368,0.612864
"CXXC5",2.67281,2.88325,2.08984,2.01656,3.3146,2.26826,3.14593,3.10647
"CYAT1",10.1629,7.71829,2.98004,6.68953,3.9336,5.16152,5.60667,6.00309
"CYB561",3.72519,3.34929,4.21975,2.93025,2.48663,3.79098,3.65284,3.17137
"CYB561D1",0.639957,2.11963,1.12211,1.01881,1.50544,2.07395,1.69722,1.45328
"CYB561D2",1.01641,1.52384,0.909373,1.13094,0.742793,1.16286,0.350363,1.21359
"CYB5A",4.0643,4.62838,4.44037,4.75769,4.69315,4.4773,6.40395,6.19141
"CYB5B",1.79692,2.47503,2.58324,2.59558,2.07622,2.58324,3.17631,2.88649
"CYB5D1",3.87505,2.41867,3.27851,2.70578,2.64313,1.62372,2.68436,2.57082
"CYB5D2",1.40586,1.88256,1.63097,1.55453,1.49891,1.55137,2.46886,1.76448
"CYB5R1",1.75298,1.74293,1.54618,1.49135,1.51825,3.07454,1.8654,1.94096
"CYB5R2",0.593679,0.926174,0.320537,0.315867,0.368996,0.988003,0.198269,0.27491
"CYB5R3",6.13911,5.46526,5.39178,5.2148,5.50783,6.05766,6.2685,6.10703
"CYB5R4",1.49396,1.50506,2.23897,0.989759,0.736969,1.5177,1.36081,1.71221
"CYB5RL",0.977053,1.76355,1.55895,0.499459,2.14845,1.38683,0.79582,1.54212
"CYBA",1.59989,1.85277,1.50334,1.88439,2.06942,2.07064,1.5968,1.40093
"CYBASC3",4.22518,4.43771,4.33895,3.95366,4.07739,3.97976,3.99905,4.1232
"CYBB",5.49728,5.29856,5.29314,4.72007,1.66999,1.2551,4.41746,4.05259
"CYBRD1",4.1207,5.37002,4.86242,3.50554,3.90445,6.58969,5.79723,5.98348
"CYC1",1.79208,1.80468,1.99102,1.37498,1.39776,1.34008,2.71576,2.98297
"CYCS",4.60754,4.43113,5.18596,4.44321,3.94084,4.51859,5.13714,4.73949
"CYFIP1",4.9977,5.98939,5.80589,5.10302,3.67845,5.29074,5.75819,5.05659
"CYFIP2",1.20736,1.72037,1.47106,1.24316,1.71757,1.5968,0.962611,1.0875
"CYGB",2.23782,2.07822,1.43953,2.40551,2.78693,3.02181,2.63447,2.8142
"CYHR1",2.61362,1.86169,2.32978,2.88204,1.57272,1.95177,1.44398,2.0871
"CYLC1",1.12814,0.780263,0.207716,2.25534,1.19069,0.930676,1.21964,1.16148
"CYLC2",0.575175,0.70605,0.428239,0.0983971,0.296669,0.480355,0.291291,0.519351
"CYLD",2.31935,2.39114,2.2184,2.70534,2.58237,2.15874,2.29904,2.49975
"CYMP",0.4913,0.859166,0.563409,0.334605,0.671831,0.647096,0.588144,0.965485
"CYorf15A",1.66753,0.480968,0.619878,1.45823,2.39513,0.779862,2.0945,1.83281
"CYorf15B",5.49637,2.61297,2.63483,4.50682,6.23521,2.20881,5.36337,5.40956
"CYP11A1",0.587073,1.17086,0.621628,0.872441,1.25959,0.996224,0.51401,1.2828
"CYP11B1",0.670322,0.370712,0.596513,0.562396,1.38109,0.858203,0.351063,0.675027
"CYP11B2",1.51302,1.31799,1.36397,1.43218,2.17641,1.52022,1.79767,1.28411
"CYP17A1",1.62873,1.10385,1.77073,1.75584,2.01001,2.01062,1.96891,1.88831
"CYP19A1",1.07771,1.67099,1.18225,1.15989,1.69264,1.12518,1.10098,1.35286
"CYP1A1",0.168195,0.676029,0.906203,0.879545,1.15314,0.758928,0.369715,0.700629
"CYP1A2",3.04541,3.65514,3.41,3.37549,3.22958,3.31772,3.05006,4.2072
"CYP1B1",4.41735,6.16715,8.07948,5.9143,5.03483,5.07895,4.75813,4.8752
"CYP20A1",1.14237,1.75584,1.63912,2.56561,1.5364,1.16286,1.9382,2.30584
"CYP21A2",5.25329,4.92496,3.68167,5.05314,4.58284,5.11488,6.3613,7.00438
"CYP24A1",1.24203,0.765976,0.448624,1.08935,1.55634,1.24021,1.01938,1.58217
"CYP26A1",0.353287,0.188546,0.287013,-0.0408397,0.153198,0.0882078,0.782171,0.245105
"CYP26B1",1.9817,1.92734,1.68784,2.23109,2.33647,2.13656,4.16493,2.66422
"CYP27A1",3.60637,3.49375,3.15759,3.50657,2.52925,4.60552,3.67414,4.02266
"CYP27B1",0.49128,0.154389,0.451817,1.09297,1.00435,0.478917,0.468347,0.346357
"CYP27C1",2.35168,1.95999,0.571469,2.24601,3.48251,1.83155,2.24149,2.23782
"CYP2A13",0.656711,0.393827,0.540882,0.632313,1.37142,0.5814,0.304107,0.407391
"CYP2A6",1.55702,1.12064,1.18696,1.2062,1.92916,1.16286,1.47882,1.07496
"CYP2A7",0.555244,0.469956,0.478917,0.584687,1.04813,0.180992,0.66463,0.584687
"CYP2A7P1",0.305765,0.746857,0.478917,0.702474,0.573538,1.5968,0.257057,1.47955
"CYP2B6",2.92605,2.89554,2.51808,2.56474,2.61673,1.69733,3.21389,2.8126
"CYP2B7P1",2.80645,2.62535,1.94486,2.90264,2.56851,2.75407,2.21499,2.53895
"CYP2C18",0.560328,0.391364,0.280019,0.658059,0.171775,1.53969,0.144758,0.673278
"CYP2C19",0.42982,0.301561,0.558369,1.11882,0.573538,0.503797,0.220291,0.254273
"CYP2C8",-0.0661404,0.308258,0.341378,0.217925,0.151871,0.137719,0.0369702,0.0450354
"CYP2C9",1.36566,1.22146,1.10312,1.16997,1.0053,1.11419,1.35643,1.26948
"CYP2D6",0.730278,0.943309,1.20451,1.05318,1.905,0.808827,0.938453,1.04875
"CYP2E1",1.8635,1.57362,1.53164,2.26083,2.29077,2.01062,1.31486,1.76137
"CYP2F1",0.902423,0.839808,0.450381,0.700771,0.97455,1.56199,1.56248,0.599255
"CYP2J2",-0.0561879,0.542955,0.379662,0.958338,0.871726,0.198494,0.0351509,-0.12017
"CYP2R1",1.53106,1.58403,1.00982,2.65333,1.6802,1.39611,2.40527,1.79918
"CYP2S1",1.49413,1.42316,1.62873,1.07349,1.32447,1.61151,0.905991,1.34192
"CYP2U1",1.54988,1.71323,1.4901,2.11741,2.05864,2.86205,1.83673,2.57082
"CYP2W1",2.49549,3.1512,2.83078,2.54217,1.7729,2.64776,2.559,3.2471
"CYP39A1",1.35152,2.14125,1.12978,1.06927,1.52134,0.863489,1.19614,1.90004
"CYP3A4",2.63808,3.33455,2.82089,3.28676,3.25161,3.27384,3.03418,3.73949
"CYP3A43",0.806125,0.873221,0.805495,1.66253,0.97549,1.13031,1.24857,0.696331
"CYP3A5",1.9049,2.2366,2.04458,2.64778,3.75803,1.58749,2.27532,2.48143
"CYP3A7",1.03286,0.913063,0.795736,0.553803,0.862822,1.16286,1.35679,0.920219
"CYP46A1",1.47446,1.03029,0.778798,1.17918,1.81713,1.29704,0.926237,1.5117
"CYP4A11",1.37217,2.29427,1.28044,1.67858,2.30205,2.20417,1.40498,1.72545
"CYP4A22",2.54061,2.51789,2.27635,1.97518,2.14891,3.23993,2.37755,2.8977
"CYP4B1",0.79646,0.603722,0.486523,0.879545,1.00356,0.470989,4.33974,0.896163
"CYP4F11",0.198824,0.193438,0.211069,-0.211075,0.871726,0.314515,-0.0686328,0.289539
"CYP4F12",1.04971,0.761322,0.714709,1.06941,0.491484,1.07906,0.871726,2.05687
"CYP4F2",0.308759,0.331741,0.238839,1.10502,0.848708,0.829038,0.194546,0.280843
"CYP4F22",1.16892,0.871897,0.873286,1.05885,1.16268,0.817507,0.780549,1.08885
"CYP4F3",0.381114,0.158702,0.899585,0.326862,0.491185,0.253964,0.726542,0.396198
"CYP4F8",0.324228,0.319839,0.343209,0.740821,0.505104,0.155142,0.28934,0.365994
"CYP4V2",1.95682,2.48665,2.38776,2.20089,1.76339,2.34938,3.0239,2.89003
"CYP4X1",0.110411,0.191695,-0.332688,0.167304,0.465906,1.03351,0.318586,0.354172
"CYP4Z1",0.946273,0.913223,0.979322,1.44044,1.03675,1.81727,1.32571,1.29168
"CYP4Z2P",0.366415,0.532434,0.532659,0.749581,0.871726,0.669684,2.27139,0.447518
"CYP51A1",3.3404,3.77131,4.43302,2.19801,0.683022,3.58476,4.11564,3.5216
"CYP7A1",0.54195,0.467714,0.305765,1.10257,1.65588,0.723384,0.725692,0.433768
"CYP7B1",2.57538,2.42061,1.30571,1.45273,2.8873,1.60189,1.89535,1.41396
"CYP8B1",1.59292,1.42855,0.725804,1.12643,1.29963,0.600717,1.72783,0.904432
"CYR61",8.91713,6.3809,9.25865,7.47959,6.52715,2.79049,2.33441,1.58195
"CYS1",2.46523,1.14047,0.795808,1.9027,1.67237,2.14659,1.65246,2.33182
"CYSLTR1",2.24843,4.18845,2.79698,1.83922,2.58889,3.28516,3.30805,4.6736
"CYSLTR2",0.793492,0.924214,0.832413,0.852448,0.959047,1.06106,0.617582,0.851918
"CYTH1",4.07525,4.03918,3.93674,4.06256,2.98249,4.35819,3.69613,3.70122
"CYTH2",2.93129,2.70648,2.7029,2.32877,2.06587,1.84218,2.57786,2.67805
"CYTH3",4.60144,5.20473,4.206,4.46204,5.04577,6.13396,5.28292,5.17139
"CYTH4",2.65577,1.46892,2.00457,2.33763,0.819385,1.42033,1.42218,1.59871
"CYTIP",3.518,1.60843,2.35958,1.72786,1.48165,1.44764,2.00079,1.75584
"CYTL1",0.548185,0.674189,0.884884,1.42748,1.20504,0.966715,0.419446,0.947472
"CYTSA",3.59458,3.74502,3.97785,2.80885,3.39596,3.41377,4.06173,3.74778
"CYTSB",1.85778,1.99946,3.03778,1.28505,1.0146,1.48394,1.43707,1.74159
"CYYR1",1.70997,4.45037,3.13204,2.28868,0.400828,2.88866,3.30805,4.05188
"D21S2088E",1.14898,0.486873,0.669032,0.0759299,1.25945,0.349678,0.286832,0.408199
"D21S2089E",1.57575,2.1233,1.61804,1.08444,2.06054,1.43255,1.40404,1.83363
"D21S2090E",0.472476,0.46971,0.524298,0.96481,0.551748,1.16488,0.684064,0.337765
"D21S2091E",0.509252,0.227646,0.147136,0.429636,0.3336,0.456707,0.00963527,0.212772
"D2HGDH",4.88802,5.0875,4.7077,4.80061,4.12999,4.96523,4.53886,5.26549
"D4S234E",2.20286,2.54768,2.20063,2.68966,3.00208,3.83529,2.65455,3.76543
"DAAM1",1.61184,2.90557,2.51165,1.18858,1.71709,2.01062,3.76776,2.96882
"DAAM2",3.26256,4.25727,4.53693,3.36224,3.08464,2.38413,5.22584,3.31269
"DAB1",2.14626,1.83621,0.441653,1.44696,0.272336,1.44774,1.93855,1.54647
"DAB2",6.82472,7.03702,6.83526,6.69341,6.54311,6.9645,7.37975,7.01321
"DAB2IP",3.13591,2.51305,2.68791,2.64352,3.31982,2.21237,1.90136,3.06387
"DACH1",0.777927,0.931627,0.927209,1.26124,1.42435,1.12507,1.33294,1.26124
"DACH2",0.688568,0.408216,0.436923,1.03,1.02552,1.5968,0.66463,0.484926
"DACT1",2.3577,3.445,4.57416,0.993421,1.71849,2.01062,0.393791,2.10539
"DACT2",1.50459,1.18184,1.62873,1.69781,1.33044,2.52211,1.87635,2.12928
"DACT3",2.18636,2.27946,1.37858,1.40598,2.15311,2.58025,0.83817,1.35808
"DAD1",4.71949,4.97463,5.79733,4.29958,2.34908,4.14382,5.24527,5.33497
"DAG1",3.25607,3.08534,3.42178,2.52737,2.04109,2.06732,2.27834,2.81477
"DAGLA",1.36853,0.949259,1.11162,1.47807,1.36982,1.5968,0.430921,1.50966
"DAGLB",2.90807,1.88831,2.10197,1.80218,1.88058,1.3404,1.16139,1.82672
"DAK",0.967605,1.40415,0.854865,0.48226,1.967,0.348547,1.05399,1.21435
"DALRD3",3.41663,3.45029,2.91406,3.19789,3.19789,2.97672,3.11091,3.42157
"DAND5",0.87998,0.540753,0.557746,0.412529,1.0018,0.408379,0.488286,0.568742
"DAO",0.553912,0.358101,0.804209,0.624955,0.553213,0.614197,0.129023,0.578196
"DAOA",0.838155,0.529764,0.387671,0.373638,0.653078,0.440137,0.461121,0.28855
"DAP",3.03577,3.02721,4.0151,2.77998,2.90037,2.26246,2.12998,2.74363
"DAP3",3.73805,4.53334,4.1229,3.97915,1.97849,4.40534,4.58602,4.19184
"DAPK1",4.15627,4.31164,4.92527,3.81358,2.03513,3.15955,4.47301,3.14001
"DAPK2",2.01407,2.29654,1.7172,1.40642,2.2169,2.13625,4.11534,3.56374
"DAPK3",3.528,3.15456,2.74133,4.02048,2.95249,2.85787,3.24349,2.90163
"DAPL1",0.222741,1.29624,0.605049,0.550895,0.104284,0.717772,0.622876,0.804076
"DAPP1",5.32725,6.43454,5.69868,6.17941,6.21516,6.68488,5.23143,6.91354
"DARC",4.86844,4.43491,3.708,3.19789,2.85138,3.45695,3.92309,4.88719
"DARS",5.56817,4.39925,4.84606,4.75325,2.72724,4.6908,5.19591,4.15624
"DARS2",-0.0410033,0.36949,1.13406,0.0175724,-0.18102,1.02127,0.938227,0.613442
"DAXX",2.14186,2.41945,2.0214,0.465654,0.526594,0.735576,1.63526,1.22841
"DAZ1",1.61919,1.33177,1.4537,2.64816,2.759,1.87922,1.72475,1.08885
"DAZ2",1.61919,1.33177,1.4537,2.64816,2.759,1.87922,1.72475,1.08885
"DAZ3",1.61919,1.33177,1.4537,2.64816,2.759,1.87922,1.72475,1.08885
"DAZ4",1.61919,1.33177,1.4537,2.64816,2.759,1.87922,1.72475,1.08885
"DAZAP1",5.57494,5.59157,5.22688,4.99504,4.99118,4.9224,5.63527,5.69861
"DAZAP2",7.28175,7.42307,6.99934,7.2073,6.50637,7.55252,7.17496,7.18351
"DAZL",0.0806551,-0.196892,0.141046,0.0929003,0.546491,0.411646,-0.0184396,0.00302578
"DBC1",0.869964,0.93095,0.598062,0.544933,0.978659,1.52685,0.94167,0.565188
"DBF4",0.247781,0.0381315,-0.0325297,0.840349,0.629903,0.639542,-0.00250342,0.288875
"DBF4B",1.04726,1.27157,0.932186,0.769162,1.46911,0.535456,0.736924,1.02628
"DBH",0.886959,0.882948,0.952332,1.48865,0.840733,1.06393,0.519611,1.30218
"DBI",5.47246,6.05998,6.07832,5.7968,5.05828,5.69813,8.51159,7.90152
"DBN1",2.5421,2.85355,2.31796,2.15135,4.0889,2.19646,2.84558,3.27657
"DBNDD1",0.241372,0.236719,0.212558,0.370111,0.146029,0.0622928,0.16337,0.239409
"DBNDD2",3.2088,3.91684,3.37595,2.01433,2.82193,3.72232,2.85328,3.91656
"DBNL",1.73808,1.20504,1.8266,1.15989,1.6298,0.679961,1.56039,1.68645
"DBP",0.723042,0.55857,0.603256,0.723327,1.35649,0.664354,0.541198,0.417284
"DBR1",4.44496,4.89438,4.59551,4.95016,5.38916,4.46077,4.69554,4.61062
"DBT",7.51278,8.03468,7.86285,7.91916,8.08203,7.7056,7.1374,8.6067
"DCAF10",4.33219,4.15526,4.5574,3.6568,4.32338,3.56462,4.84304,4.18807
"DCAF11",1.62451,2.01576,1.3535,0.938005,1.14674,1.19177,1.9286,1.35286
"DCAF12",1.66535,2.31352,2.68023,2.35849,1.76649,2.37466,1.99831,2.07299
"DCAF12L1",0.764899,0.796565,0.338058,0.449155,0.863193,0.779862,0.0997528,0.502582
"DCAF12L2",0.530315,0.902703,0.123555,0.978078,0.391724,0.603459,0.0506053,0.353786
"DCAF13",2.73529,2.9427,3.68244,3.62895,2.55381,3.11822,2.61267,2.54901
"DCAF15",1.08952,0.865174,1.22418,1.43218,1.31793,1.31555,1.25659,1.20174
"DCAF16",3.10967,3.97599,2.8633,2.38182,4.10725,5.14778,3.64626,3.65719
"DCAF17",1.74566,2.08533,1.38999,1.60638,1.50544,1.79657,1.40332,1.57564
"DCAF4",1.10265,1.78825,2.49688,1.55575,1.97617,1.30772,2.8741,1.88573
"DCAF4L1",0.332074,0.181229,0.0968557,0.783239,0.611746,0.371332,1.08052,0.332633
"DCAF4L2",1.57846,1.41359,1.23949,2.04692,3.01247,2.54607,1.91011,2.39827
"DCAF5",3.50773,4.88875,4.57411,4.29146,2.86706,5.6859,4.95035,4.70994
"DCAF6",11.6457,11.4815,11.4021,11.5251,11.5244,11.4021,11.3764,11.5745
"DCAF7",2.4143,3.29457,3.6197,3.30239,3.20538,2.36151,3.57178,2.90228
"DCAF8",4.18309,3.67747,3.38157,3.60145,2.92002,3.66055,4.5225,3.702
"DCAKD",2.07684,2.12451,3.66459,1.01385,1.78379,1.5968,4.0109,1.91036
"DCBLD1",2.51961,1.94456,2.16931,1.90591,1.79732,1.79732,1.60998,1.59155
"DCBLD2",4.91231,4.14534,5.46979,4.88365,3.81456,3.35025,4.23532,3.65901
"DCC",0.996239,0.958196,0.521808,1.04034,1.26401,0.888968,0.512537,0.568055
"DCD",0.20564,0.23314,0.474636,0.389192,0.28061,1.07583,0.238984,0.21657
"DCDC2",0.635813,0.616763,0.68803,1.15989,1.81844,0.876917,0.752943,0.81529
"DCDC2B",1.20504,0.677091,1.51789,1.38743,1.53388,1.60699,0.958288,1.34444
"DCDC5",0.524074,0.0291825,0.0411916,0.632313,0.146407,0.509542,0.126,-0.153323
"DCHS1",5.00392,4.84592,3.74458,4.73926,3.38716,5.11654,4.3143,5.09491
"DCHS2",0.893363,1.00575,0.670813,1.55133,1.89968,2.62742,0.789313,1.09875
"DCI",0.738824,0.417458,0.596513,0.402154,0.790201,0.503736,0.459515,0.714222
"DCK",1.08295,1.92831,1.6918,0.632313,0.719956,1.39218,0.675178,1.33386
"DCLK1",3.74042,5.33986,4.80205,3.34619,2.64313,6.84154,4.38856,5.60885
"DCLK2",2.4741,1.65406,2.07476,1.38874,1.82557,1.43835,1.52826,1.44187
"DCLK3",1.23519,1.14253,1.0028,1.665,1.23519,1.36398,1.65677,1.81215
"DCLRE1A",0.756953,0.478917,0.626493,0.890711,0.871726,0.775232,0.929998,0.927091
"DCLRE1B",1.29518,1.32303,1.61328,0.937627,0.837846,0.621945,0.840298,0.985671
"DCLRE1C",4.37501,5.24841,4.47127,4.72181,4.27055,4.87337,4.63013,5.11451
"DCN",9.44765,8.88322,9.78478,8.59998,7.55417,9.10639,8.55639,9.09778
"DCP1A",1.91103,3.15272,3.12717,1.2042,2.477,2.38513,3.12779,2.88167
"DCP1B",0.911106,1.7014,0.80849,1.56893,0.575553,1.14445,1.58486,2.57082
"DCP2",2.97065,3.12965,3.63497,3.2592,2.30778,4.19673,2.96965,2.94389
"DCPS",1.46519,2.27848,1.19743,1.91855,1.2031,1.18695,1.85112,1.35286
"DCST1",1.89312,1.75584,1.26339,0.981465,2.63709,1.6098,1.04463,1.4631
"DCST2",0.378531,0.904608,0.834603,0.464947,0.365865,0.612497,0.538916,1.06465
"DCT",0.507831,0.332621,0.554272,0.535624,1.20504,0.779862,0.323062,0.927091
"DCTD",3.14705,3.34267,3.46565,3.90214,3.78988,3.90413,3.56087,3.42849
"DCTN1",4.25543,3.6034,3.46392,4.11142,2.8948,3.63972,3.58761,3.41808
"DCTN2",4.25692,4.94247,4.45448,3.98734,3.72114,4.65827,4.94635,4.38609
"DCTN3",2.66221,3.86195,4.0251,1.81323,0.926805,1.36467,4.29516,3.19476
"DCTN4",3.49053,4.36254,4.63424,2.23248,2.18775,4.96462,4.0545,4.2126
"DCTN5",2.69889,3.13822,4.10874,3.70994,2.88104,3.06293,2.77968,2.61423
"DCTN6",5.22122,3.71838,4.25384,4.53737,3.85067,4.17432,5.65328,4.90906
"DCTPP1",3.30597,3.41998,3.11505,2.34536,3.25176,3.54874,2.88445,3.37524
"DCUN1D1",5.57962,5.47644,4.77756,4.64995,4.60323,5.26294,5.43032,4.91881
"DCUN1D2",3.33886,3.68455,3.42157,2.40765,2.52182,3.23821,3.18129,3.51227
"DCUN1D3",2.57974,2.51894,4.77022,2.52806,2.10221,0.939122,3.15342,2.73371
"DCUN1D4",3.32383,2.54526,2.95438,2.59735,3.18957,1.76574,3.44934,2.14855
"DCUN1D5",3.49001,4.04861,4.39376,2.76315,2.21569,2.84953,2.63269,3.04318
