"","GSM1536406","GSM1536407","GSM1536408","GSM1536409","GSM1536410","GSM1536411","GSM1536412","GSM1536413"
"ALOX15B",0.78019,0.92496,1.57507,0.532057,1.13148,0.779862,0.489309,0.251807
"ALOX5",3.17007,3.25851,3.14525,2.72183,1.76771,2.01062,2.02698,1.88831
"ALOX5AP",3.73031,4.21738,5.96068,3.99943,1.51354,1.82351,4.48301,3.40426
"ALOXE3",0.811982,0.793471,0.793471,0.946867,1.70662,0.782494,0.656953,1.09672
"ALPI",1.26766,1.15006,1.43776,1.83832,1.17503,1.5968,0.605463,1.63388
"ALPK1",6.85565,7.65989,7.19098,7.65514,7.43249,7.30268,6.96129,8.10035
"ALPK2",1.71669,1.2329,2.9919,1.34033,1.98126,1.47506,1.37236,1.00679
"ALPK3",1.20568,1.73988,2.73222,1.02439,2.02149,1.45092,1.53521,1.227
"ALPL",2.7577,0.931022,1.7259,1.75584,1.3562,0.441725,0.72372,0.954833
"ALPP",1.15275,1.10753,1.48236,1.06089,1.83972,1.20992,0.165095,1.46898
"ALPPL2",1.75467,1.28336,1.50704,1.79298,0.932248,1.00466,0.859953,1.90651
"ALS2",1.25364,1.53764,1.19266,1.47823,1.73719,1.16286,1.75504,1.28888
"ALS2CL",0.971023,1.57096,1.13406,0.982338,2.11775,0.705659,1.42977,0.883685
"ALS2CR10",2.40337,2.01062,2.12659,2.5236,1.7316,2.01543,2.35577,1.56413
"ALS2CR11",1.61063,0.906981,1.8476,0.87846,1.19436,0.822681,0.369715,1.0208
"ALS2CR12",0.59146,0.829681,0.829152,0.92607,0.931145,1.95956,0.782171,0.704021
"ALS2CR4",1.31704,1.78753,1.95295,2.14295,1.18722,3.11275,2.00559,1.86974
"ALS2CR8",1.385,1.84398,1.11374,3.33084,1.64608,1.96416,2.42272,3.00674
"ALX1",0.477257,0.739716,0.0476707,1.0229,0.902739,0.595097,0.118748,0.903752
"ALX3",0.782744,0.454796,0.679045,0.901936,1.13461,0.136569,0.4538,0.845553
"ALX4",1.1458,1.27126,0.88875,1.15633,0.573538,0.819757,0.799194,1.48127
"AMAC1",1.17841,1.296,0.953762,1.2279,2.66828,0.708731,1.19467,1.26823
"AMAC1L2",1.17841,1.296,0.953762,1.2279,2.66828,0.708731,1.19467,1.26823
"AMACR",1.39342,1.11422,1.48971,2.01117,1.80954,1.19312,1.49657,1.61961
"AMBN",0.694337,0.345033,0.337386,0.821445,0.661181,0.276725,0.571344,0.753747
"AMBP",1.24873,1.35664,1.46092,0.836883,1.05897,1.65758,1.15006,1.13199
"AMBRA1",3.94774,4.02937,4.13389,4.06167,4.28227,3.46821,4.1138,4.15436
"AMD1",4.25978,5.16736,4.46098,3.8118,3.16156,5.59975,4.89361,4.95974
"AMDHD1",0.691807,0.0415905,0.0349822,0.0929004,1.31883,0.198494,0.489439,0.413747
"AMDHD2",1.83085,1.7392,1.72009,1.91884,1.97696,1.47532,1.51385,1.86442
"AMELX",0.801918,1.07455,1.15088,1.46891,0.64452,1.53729,1.28123,0.9896
"AMELY",0.40832,0.196527,0.20564,0.291881,-0.0837654,0.544573,0.275494,0.993091
"AMFR",1.60612,2.27123,2.23628,1.71459,2.32997,1.47995,2.22072,2.30098
"AMH",0.679393,1.07485,0.64264,0.808133,0.344007,0.679393,0.962234,1.65188
"AMHR2",1.10085,1.14639,1.17462,0.974039,1.20504,1.46735,1.11598,1.5132
"AMICA1",3.43117,2.87089,3.2522,3.09949,1.65301,1.67517,1.55994,1.50832
"AMIGO1",2.27746,1.86528,1.59916,1.11456,1.58868,1.97931,1.23712,1.68457
"AMIGO2",1.65982,1.22733,1.43854,1.72953,1.19345,2.68044,1.80082,1.4487
"AMIGO3",1.46976,1.83157,1.6651,1.70584,1.82732,1.7327,1.5968,1.92952
"AMMECR1",3.70691,2.65169,3.5702,4.13704,2.57777,3.3635,1.62109,2.72765
"AMMECR1L",1.94924,2.74964,2.58946,1.75584,2.10421,2.15108,3.23821,2.91982
"AMN",1.72814,1.4997,1.28742,1.49904,3.12072,1.21202,1.00626,0.879132
"AMN1",0.643518,0.395934,0.863563,0.69462,1.12693,1.5968,0.77787,0.840031
"AMOT",2.28574,2.11224,1.83243,1.80888,2.42326,2.98833,2.08214,2.29854
"AMOTL1",4.67295,5.51865,4.35367,3.16779,2.80802,5.52116,4.95896,4.74889
"AMOTL2",4.77018,3.13204,3.91231,4.60482,4.60888,4.69737,5.31857,4.63124
"AMPD1",1.01516,0.582222,0.708588,1.35781,1.0518,1.25813,0.483606,0.790476
"AMPD2",3.73457,2.52478,3.32237,3.60759,2.39077,3.28193,2.32675,2.79475
"AMPD3",2.10463,2.19992,1.67063,1.77796,2.69052,1.95812,1.75016,1.56661
"AMPH",1.09606,0.762104,0.493325,0.592604,0.628574,1.61275,1.3269,2.36771
"AMT",1.89894,2.09472,1.82797,1.62042,1.5329,1.81843,1.90848,1.91817
"AMY1A",2.75709,3.55493,2.99261,2.84017,3.95791,4.63934,3.49442,4.0368
"AMY1B",2.75709,3.55493,2.99261,2.84017,3.95791,4.63934,3.49442,4.0368
"AMY1C",2.75709,3.55493,2.99261,2.84017,3.95791,4.63934,3.49442,4.0368
"AMY2A",2.75709,3.55493,2.99261,2.84017,3.95791,4.63934,3.49442,4.0368
"AMY2B",1.92698,2.19985,1.52235,2.23292,2.64313,3.47591,2.34483,2.30981
"AMZ1",1.42103,1.02233,1.21755,1.55583,1.8794,1.16286,0.977184,1.47652
"AMZ2",3.72969,3.96784,4.50173,3.04766,3.40113,3.61022,4.57735,3.86394
"AMZ2P1",0.551665,1.02313,1.27644,1.03412,0.988144,1.18889,1.77978,1.2697
"ANAPC1",4.05794,3.78876,3.90227,4.68892,3.77104,2.92741,4.80973,3.63395
"ANAPC10",1.25764,1.4709,1.35238,2.66876,1.85275,1.47092,2.09922,2.22316
"ANAPC11",5.57944,5.72872,5.85404,5.07221,4.79945,4.3932,5.90158,5.77128
"ANAPC13",3.33,2.7199,2.48362,2.56474,2.18252,3.0007,4.12261,2.80217
"ANAPC16",7.49995,8.19087,7.68679,7.87582,7.71551,7.76665,7.19763,8.67673
"ANAPC2",1.38576,1.59425,1.58673,2.73043,0.578372,1.44653,0.838318,2.069
"ANAPC4",4.34638,5.73753,5.19233,3.33042,3.29007,6.11227,5.05332,5.26497
