"","MEgreenyellow","MEbrown4","MEskyblue","MEskyblue3","MEbisque4","MEfloralwhite","MEroyalblue","MEdarkorange2","MEcyan","MElightcyan","MEdarkturquoise","MEsienna3","MEsalmon","MEyellowgreen"
"GSM1536406",-0.0557154049035264,-0.227208723472239,-0.301713804404704,-0.21182272838085,0.150549223476301,0.14462276409041,-0.359958459124162,-0.106451421695613,0.0209897841465304,0.434815659337079,0.859147188890331,0.740900205485382,0.462355888478796,0.296324047315283
"GSM1536407",0.287691915328007,-0.111348034218909,0.0702720163429649,-0.128269706371251,0.193961453639214,0.271905526894197,0.255411404589936,-0.213190642542976,-0.178077943709058,-0.0808747546765881,0.0592737304510602,-0.0111191515327692,0.0330521516585747,0.256171440041693
"GSM1536408",-0.067376545483839,-0.298581714702292,-0.406820809120297,-0.233576539585287,0.319047651815686,0.345250199267593,0.180791324105677,-0.26500931005658,-0.309091215288527,0.0451550817395251,-0.15437941199494,-0.0339071692301337,0.66755657052433,0.438764974098082
"GSM1536409",-0.558157555575358,-0.121773444622755,-0.19450790486867,-0.214253814183859,-0.21549009494061,-0.164675188148303,-0.399202531338201,0.0241781358142149,0.585444758635613,0.37437502544951,0.129307893248566,-0.532467670970037,-0.0231130515570137,-0.0840820929778241
"GSM1536410",-0.220938491716358,0.048996424062462,-0.354439051513555,-0.26346111669151,-0.348166892793612,-0.837572270648029,-0.582355188574358,0.878615607193581,0.594731498369077,0.362444720531649,-0.194461575153326,0.0500967616352214,-0.199245541940053,-0.403212168792679
"GSM1536411",0.710200224005919,0.896928086646894,0.659939656840903,-0.092813178589213,-0.667960982022362,-0.066721210499865,0.303433994670826,0.0932477590347983,-0.300416473589611,-0.621019194728429,-0.339591806360153,-0.378372721438367,-0.36180678948529,0.335214597537269
"GSM1536412",-0.189753239108804,-0.155274014130608,0.247203815464134,0.801876465136792,0.461157689700759,0.206859014112859,0.32103405354285,-0.265368674916631,-0.20028097187534,-0.178048213857139,-0.172082139663931,0.141617280846554,-0.26864644811129,-0.519396878253609
"GSM1536413",0.0940490974539592,-0.0317385795625536,0.280066081259225,0.342320618665177,0.106901951124624,0.100331164931139,0.280845402127432,-0.146021452830793,-0.213299436688684,-0.336848323795606,-0.187213879417607,0.0232524652041498,-0.310152779568054,-0.319783918968213
