ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene_clean,Matrisome Division,Matrisome Category,Gene Name
206742_PM_at,0.30153,0.00261,-4.08,-1.274969,-2.892596,FIGF,c-fos induced growth factor,FIGF,Matrisome-associated,Secreted Factors,c-fos induced growth factor (vascular endothelial growth factor D)
223597_PM_at,0.30203,0.00263,-4.08,-1.282212,-6.39461483,ITLN1,intelectin 1,ITLN1,Matrisome-associated,ECM-affiliated Proteins,intelectin 1 (galactofuranose binding)
213693_PM_s_at,0.31076,0.00281,4.03,-1.347306,1.56945833,MUC1,"mucin 1, cell surface associated",MUC1,Matrisome-associated,ECM-affiliated Proteins,"mucin 1, cell surface associated"
205200_PM_at,0.32706,0.00309,-3.97,-1.436514,-1.90583267,CLEC3B,C-type lectin domain family 3 member B,CLEC3B,Matrisome-associated,ECM-affiliated Proteins,"C-type lectin domain family 3, member B"
205713_PM_s_at,0.33844,0.00335,3.92,-1.510505,4.07950533,COMP,cartilage oligomeric matrix protein,COMP,Core matrisome,ECM Glycoproteins,cartilage oligomeric matrix protein
209763_PM_at,0.34135,0.00355,-3.88,-1.565381,-3.2143,CHRDL1,chordin like 1,CHRDL1,Matrisome-associated,Secreted Factors,chordin-like 1
213661_PM_at,0.34135,0.00355,-3.88,-1.566211,-1.4336215,PAMR1,peptidase domain containing associated with muscle regeneration 1,PAMR1,Matrisome-associated,ECM Regulators,peptidase domain containing associated with muscle regeneration 1
206101_PM_at,0.34902,0.00371,-3.85,-1.607619,-1.315845,ECM2,extracellular matrix protein 2,ECM2,Core matrisome,ECM Glycoproteins,"extracellular matrix protein 2, female organ and adipocyte specific"
201645_PM_at,0.34902,0.00371,3.85,-1.608522,3.391885,TNC,tenascin C,TNC,Core matrisome,ECM Glycoproteins,tenascin C
209369_PM_at,0.37414,0.00448,-3.73,-1.785396,-1.807643,ANXA3,annexin A3,ANXA3,Matrisome-associated,ECM-affiliated Proteins,annexin A3
205984_PM_at,0.37593,0.00457,-3.72,-1.804944,-1.3207815,CRHBP,corticotropin releasing hormone binding protein,CRHBP,Matrisome-associated,Secreted Factors,corticotropin releasing hormone binding protein
239272_PM_at,0.39007,0.0048,-3.69,-1.851823,-1.21676267,MMP28,matrix metallopeptidase 28,MMP28,Matrisome-associated,ECM Regulators,matrix metallopeptidase 28
201438_PM_at,0.39466,0.0049,3.67,-1.871761,1.11747333,COL6A3,collagen type VI alpha 3 chain,COL6A3,Core matrisome,Collagens,"collagen, type VI, alpha 3"
216867_PM_s_at,0.39812,0.00496,3.67,-1.882781,1.43189167,PDGFA,platelet derived growth factor subunit A,PDGFA,Matrisome-associated,Secreted Factors,platelet-derived growth factor alpha polypeptide
214702_PM_at,0.41042,0.00526,3.63,-1.937563,1.93177567,FN1,fibronectin 1,FN1,Core matrisome,ECM Glycoproteins,fibronectin 1
223121_PM_s_at,0.42805,0.00584,3.56,-2.037632,2.53317167,SFRP2,secreted frizzled related protein 2,SFRP2,Matrisome-associated,Secreted Factors,secreted frizzled-related protein 2
228703_PM_at,0.45008,0.00637,3.51,-2.119267,2.10161317,P4HA3,prolyl 4-hydroxylase subunit alpha 3,P4HA3,Matrisome-associated,ECM Regulators,"prolyl 4-hydroxylase, alpha polypeptide III"
226930_PM_at,0.45008,0.00641,3.51,-2.12463,2.90672,FNDC1,fibronectin type III domain containing 1,FNDC1,Core matrisome,ECM Glycoproteins,fibronectin type III domain containing 1
221541_PM_at,0.45545,0.00654,3.49,-2.144332,2.78338833,CRISPLD2,cysteine rich secretory protein LCCL domain containing 2,CRISPLD2,Core matrisome,ECM Glycoproteins,cysteine-rich secretory protein LCCL domain containing 2
231234_PM_at,0.46191,0.00676,-3.47,-2.175544,-1.42134233,CTSC,cathepsin C,CTSC,Matrisome-associated,ECM Regulators,cathepsin C
227265_PM_at,0.46254,0.00684,-3.47,-2.186139,-1.46849833,FGL2,fibrinogen like 2,FGL2,Core matrisome,ECM Glycoproteins,fibrinogen-like 2
236904_PM_x_at,0.46981,0.00711,3.44,-2.223617,1.04586667,TECTA,tectorin alpha,TECTA,Core matrisome,ECM Glycoproteins,tectorin alpha
226237_PM_at,0.47534,0.00742,3.41,-2.26396,2.68166667,COL8A1,collagen type VIII alpha 1 chain,COL8A1,Core matrisome,Collagens,"collagen, type VIII, alpha 1"
203886_PM_s_at,0.48363,0.00775,-3.39,-2.305003,-1.3728,FBLN2,fibulin 2,FBLN2,Core matrisome,ECM Glycoproteins,fibulin 2
209561_PM_at,0.49792,0.00815,3.36,-2.352584,1.15780833,THBS3,thrombospondin 3,THBS3,Core matrisome,ECM Glycoproteins,thrombospondin 3
236262_PM_at,0.50451,0.00834,-3.34,-2.374475,-1.68784,MMRN2,multimerin 2,MMRN2,Core matrisome,ECM Glycoproteins,multimerin 2
225275_PM_at,0.50937,0.00851,3.33,-2.392737,2.50904,EDIL3,EGF like repeats and discoidin domains 3,EDIL3,Core matrisome,ECM Glycoproteins,EGF-like repeats and discoidin I-like domains 3
204051_PM_s_at,0.51284,0.00867,3.32,-2.410624,2.73631167,SFRP4,secreted frizzled related protein 4,SFRP4,Matrisome-associated,Secreted Factors,secreted frizzled-related protein 4
223475_PM_at,0.52084,0.00896,3.3,-2.441479,1.7040255,CRISPLD1,cysteine rich secretory protein LCCL domain containing 1,CRISPLD1,Core matrisome,ECM Glycoproteins,cysteine-rich secretory protein LCCL domain containing 1
37892_PM_at,0.52104,0.00898,3.3,-2.443853,3.78661098,COL11A1,collagen type XI alpha 1 chain,COL11A1,Core matrisome,Collagens,"collagen, type XI, alpha 1"
235368_PM_at,0.52687,0.00935,-3.27,-2.482043,-1.52560033,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,ADAMTS5,Matrisome-associated,ECM Regulators,"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
203088_PM_at,0.52984,0.00948,-3.26,-2.495111,-1.481305,FBLN5,fibulin 5,FBLN5,Core matrisome,ECM Glycoproteins,fibulin 5
209747_PM_at,0.54483,0.0102,3.22,-2.561187,1.38042167,TGFB3,transforming growth factor beta 3,TGFB3,Matrisome-associated,Secreted Factors,"transforming growth factor, beta 3"
204971_PM_at,0.54509,0.0102,-3.22,-2.562552,-1.71034833,CSTA,cystatin A,CSTA,Matrisome-associated,ECM Regulators,cystatin A (stefin A)
225809_PM_at,0.55263,0.0105,-3.2,-2.591808,-1.17712167,PARM1,prostate androgen-regulated mucin-like protein 1,PARM1,Matrisome-associated,ECM-affiliated Proteins,prostate androgen-regulated mucin-like protein 1
206026_PM_s_at,0.55359,0.0106,3.2,-2.596395,1.64126833,TNFAIP6,TNF alpha induced protein 6,TNFAIP6,Core matrisome,ECM Glycoproteins,"tumor necrosis factor, alpha-induced protein 6"
201069_PM_at,0.56283,0.0109,3.18,-2.627299,1.95519833,MMP2,matrix metallopeptidase 2,MMP2,Matrisome-associated,ECM Regulators,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"
204345_PM_at,0.58118,0.0117,3.13,-2.695402,2.12623667,COL16A1,collagen type XVI alpha 1 chain,COL16A1,Core matrisome,Collagens,"collagen, type XVI, alpha 1"
202465_PM_at,0.58394,0.0119,3.12,-2.707217,1.56403167,PCOLCE,procollagen C-endopeptidase enhancer,PCOLCE,Core matrisome,ECM Glycoproteins,procollagen C-endopeptidase enhancer
1553129_PM_at,0.64064,0.0146,-3.0,-2.905002,-1.755475,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",SVEP1,Core matrisome,ECM Glycoproteins,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
231628_PM_s_at,0.6403,0.0146,-3.0,-2.900726,-3.15377167,SERPINB6,serpin family B member 6,SERPINB6,Matrisome-associated,ECM Regulators,"serpin peptidase inhibitor, clade B (ovalbumin), member 6"
